Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,
Source,CH1,Source,CH2,Source,CH3,Source,CH4,
Label, ,Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,
Vertical Units,V,Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E+02,Vertical Scale,5.000E+01,Vertical Scale,5.000E-01,Vertical Scale,5.000E-01,
Vertical Position,1.960E+02,Vertical Position,2.000E+00,Vertical Position,-3.400E-01,Vertical Position,-1.160E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,
Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,
Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,
Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,
Mode,Detail,Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,Waveform Data,,
1.228000e-04,-4.000000,1.228000e-04,2.000000,1.228000e-04,0.040000,1.228000e-04,0.020000,
1.228200e-04,-4.000000,1.228200e-04,2.000000,1.228200e-04,0.040000,1.228200e-04,0.020000,
1.228400e-04,-4.000000,1.228400e-04,2.000000,1.228400e-04,0.060000,1.228400e-04,0.020000,
1.228600e-04,0.000000,1.228600e-04,2.000000,1.228600e-04,0.040000,1.228600e-04,0.020000,
1.228800e-04,-4.000000,1.228800e-04,2.000000,1.228800e-04,0.040000,1.228800e-04,0.020000,
1.229000e-04,-4.000000,1.229000e-04,2.000000,1.229000e-04,0.040000,1.229000e-04,0.020000,
1.229200e-04,-4.000000,1.229200e-04,2.000000,1.229200e-04,0.040000,1.229200e-04,0.000000,
1.229400e-04,-4.000000,1.229400e-04,2.000000,1.229400e-04,0.040000,1.229400e-04,0.020000,
1.229600e-04,0.000000,1.229600e-04,2.000000,1.229600e-04,0.040000,1.229600e-04,0.020000,
1.229800e-04,-4.000000,1.229800e-04,2.000000,1.229800e-04,0.040000,1.229800e-04,0.000000,
1.230000e-04,-4.000000,1.230000e-04,2.000000,1.230000e-04,0.040000,1.230000e-04,0.020000,
1.230200e-04,0.000000,1.230200e-04,2.000000,1.230200e-04,0.040000,1.230200e-04,0.020000,
1.230400e-04,0.000000,1.230400e-04,2.000000,1.230400e-04,0.040000,1.230400e-04,0.000000,
1.230600e-04,-4.000000,1.230600e-04,2.000000,1.230600e-04,0.040000,1.230600e-04,0.020000,
1.230800e-04,-4.000000,1.230800e-04,2.000000,1.230800e-04,0.040000,1.230800e-04,0.020000,
1.231000e-04,-4.000000,1.231000e-04,2.000000,1.231000e-04,0.040000,1.231000e-04,0.020000,
1.231200e-04,-4.000000,1.231200e-04,2.000000,1.231200e-04,0.040000,1.231200e-04,0.020000,
1.231400e-04,0.000000,1.231400e-04,2.000000,1.231400e-04,0.040000,1.231400e-04,0.020000,
1.231600e-04,0.000000,1.231600e-04,2.000000,1.231600e-04,0.040000,1.231600e-04,0.020000,
1.231800e-04,-4.000000,1.231800e-04,2.000000,1.231800e-04,0.040000,1.231800e-04,0.020000,
1.232000e-04,-4.000000,1.232000e-04,2.000000,1.232000e-04,0.040000,1.232000e-04,0.020000,
1.232200e-04,-4.000000,1.232200e-04,2.000000,1.232200e-04,0.040000,1.232200e-04,0.000000,
1.232400e-04,-4.000000,1.232400e-04,2.000000,1.232400e-04,0.040000,1.232400e-04,0.000000,
1.232600e-04,0.000000,1.232600e-04,2.000000,1.232600e-04,0.040000,1.232600e-04,0.020000,
1.232800e-04,0.000000,1.232800e-04,2.000000,1.232800e-04,0.040000,1.232800e-04,0.020000,
1.233000e-04,-4.000000,1.233000e-04,2.000000,1.233000e-04,0.040000,1.233000e-04,0.020000,
1.233200e-04,-4.000000,1.233200e-04,2.000000,1.233200e-04,0.040000,1.233200e-04,0.000000,
1.233400e-04,0.000000,1.233400e-04,2.000000,1.233400e-04,0.040000,1.233400e-04,0.020000,
1.233600e-04,0.000000,1.233600e-04,2.000000,1.233600e-04,0.040000,1.233600e-04,0.020000,
1.233800e-04,-4.000000,1.233800e-04,2.000000,1.233800e-04,0.040000,1.233800e-04,0.000000,
1.234000e-04,-4.000000,1.234000e-04,2.000000,1.234000e-04,0.040000,1.234000e-04,0.000000,
1.234200e-04,-4.000000,1.234200e-04,2.000000,1.234200e-04,0.040000,1.234200e-04,0.020000,
1.234400e-04,-4.000000,1.234400e-04,2.000000,1.234400e-04,0.040000,1.234400e-04,0.020000,
1.234600e-04,-4.000000,1.234600e-04,2.000000,1.234600e-04,0.040000,1.234600e-04,0.000000,
1.234800e-04,-4.000000,1.234800e-04,2.000000,1.234800e-04,0.040000,1.234800e-04,0.020000,
1.235000e-04,-4.000000,1.235000e-04,2.000000,1.235000e-04,0.040000,1.235000e-04,0.000000,
1.235200e-04,-4.000000,1.235200e-04,2.000000,1.235200e-04,0.040000,1.235200e-04,0.020000,
1.235400e-04,-4.000000,1.235400e-04,2.000000,1.235400e-04,0.040000,1.235400e-04,0.020000,
1.235600e-04,-4.000000,1.235600e-04,2.000000,1.235600e-04,0.040000,1.235600e-04,0.020000,
1.235800e-04,-4.000000,1.235800e-04,2.000000,1.235800e-04,0.040000,1.235800e-04,0.020000,
1.236000e-04,-4.000000,1.236000e-04,2.000000,1.236000e-04,0.040000,1.236000e-04,0.020000,
1.236200e-04,-4.000000,1.236200e-04,2.000000,1.236200e-04,0.040000,1.236200e-04,0.020000,
1.236400e-04,-4.000000,1.236400e-04,2.000000,1.236400e-04,0.060000,1.236400e-04,0.020000,
1.236600e-04,0.000000,1.236600e-04,2.000000,1.236600e-04,0.040000,1.236600e-04,0.000000,
1.236800e-04,-4.000000,1.236800e-04,2.000000,1.236800e-04,0.040000,1.236800e-04,0.000000,
1.237000e-04,0.000000,1.237000e-04,2.000000,1.237000e-04,0.040000,1.237000e-04,0.020000,
1.237200e-04,-4.000000,1.237200e-04,2.000000,1.237200e-04,0.040000,1.237200e-04,0.020000,
1.237400e-04,0.000000,1.237400e-04,2.000000,1.237400e-04,0.040000,1.237400e-04,0.040000,
1.237600e-04,0.000000,1.237600e-04,2.000000,1.237600e-04,0.040000,1.237600e-04,0.020000,
1.237800e-04,-4.000000,1.237800e-04,2.000000,1.237800e-04,0.040000,1.237800e-04,0.000000,
1.238000e-04,0.000000,1.238000e-04,2.000000,1.238000e-04,0.040000,1.238000e-04,0.020000,
1.238200e-04,-4.000000,1.238200e-04,2.000000,1.238200e-04,0.040000,1.238200e-04,0.020000,
1.238400e-04,-4.000000,1.238400e-04,2.000000,1.238400e-04,0.040000,1.238400e-04,0.020000,
1.238600e-04,-4.000000,1.238600e-04,2.000000,1.238600e-04,0.040000,1.238600e-04,0.020000,
1.238800e-04,-4.000000,1.238800e-04,2.000000,1.238800e-04,0.040000,1.238800e-04,0.020000,
