time in s,CH2 in V
-9.999996E-6,-97.43E-6
-9.999996E-6,102.6E-6
-9.799996E-6,-217.4E-6
-9.799996E-6,-57.43E-6
-9.599998E-6,-217.4E-6
-9.599998E-6,-57.43E-6
-9.399998E-6,142.6E-6
-9.399998E-6,-137.4E-6
-9.199998E-6,142.6E-6
-9.199998E-6,-97.43E-6
-8.999998E-6,-217.4E-6
-8.999998E-6,-17.43E-6
-8.799998E-6,-217.4E-6
-8.799998E-6,-57.43E-6
-8.599998E-6,-17.43E-6
-8.599998E-6,-177.4E-6
-8.399998E-6,-177.4E-6
-8.399998E-6,-97.43E-6
-8.199999E-6,102.6E-6
-8.199999E-6,-177.4E-6
-7.999999E-6,102.6E-6
-7.999999E-6,-17.43E-6
-7.800000E-6,-57.43E-6
-7.800000E-6,142.6E-6
-7.599999E-6,-137.4E-6
-7.599999E-6,62.57E-6
-7.399999E-6,-217.4E-6
-7.399999E-6,22.57E-6
-7.199999E-6,142.6E-6
-7.199999E-6,-57.43E-6
-6.999999E-6,182.6E-6
-6.999999E-6,-17.43E-6
-6.799999E-6,-177.4E-6
-6.799999E-6,62.57E-6
-6.599999E-6,-457.4E-6
-6.599999E-6,-137.4E-6
-6.399998E-6,142.6E-6
-6.399998E-6,-217.4E-6
-6.199998E-6,62.57E-6
-6.199998E-6,-177.4E-6
-5.999998E-6,22.57E-6
-5.999998E-6,-137.4E-6
-5.799998E-6,102.6E-6
-5.799998E-6,-97.43E-6
-5.599998E-6,222.6E-6
-5.599998E-6,62.57E-6
-5.399998E-6,-97.43E-6
-5.399998E-6,182.6E-6
-5.199998E-6,-217.4E-6
-5.199998E-6,-17.43E-6
-4.999997E-6,22.57E-6
-4.999997E-6,-177.4E-6
-4.799997E-6,62.57E-6
-4.799997E-6,-137.4E-6
-4.599997E-6,-457.4E-6
-4.599997E-6,-57.43E-6
-4.399997E-6,-137.4E-6
-4.399997E-6,-497.4E-6
-4.199997E-6,182.6E-6
-4.199997E-6,-137.4E-6
-3.999996E-6,222.6E-6
-3.999996E-6,22.57E-6
-3.799997E-6,-97.43E-6
-3.799997E-6,102.6E-6
-3.599997E-6,-177.4E-6
-3.599997E-6,-17.43E-6
-3.399997E-6,-177.4E-6
-3.399997E-6,-57.43E-6
-3.199997E-6,-297.4E-6
-3.199997E-6,-137.4E-6
-2.999997E-6,-337.4E-6
-2.999997E-6,-137.4E-6
-2.799997E-6,22.57E-6
-2.799997E-6,-257.4E-6
-2.599997E-6,182.6E-6
-2.599997E-6,-17.43E-6
-2.399997E-6,182.6E-6
-2.399997E-6,22.57E-6
-2.199997E-6,-217.4E-6
-2.199997E-6,62.57E-6
-1.999997E-6,-217.4E-6
-1.999997E-6,-97.43E-6
-1.799997E-6,-257.4E-6
-1.799997E-6,-137.4E-6
-1.599997E-6,-257.4E-6
-1.599997E-6,-137.4E-6
-1.399997E-6,-57.43E-6
-1.399997E-6,-257.4E-6
-1.199997E-6,22.57E-6
-1.199997E-6,-177.4E-6
-999.9974E-9,62.57E-6
-999.9974E-9,-97.43E-6
-799.9974E-9,-177.4E-6
-799.9974E-9,22.57E-6
-599.9974E-9,22.57E-6
-599.9974E-9,-177.4E-6
-399.9974E-9,222.6E-6
-399.9974E-9,-57.43E-6
-199.9974E-9,6.543E-3
-199.9974E-9,-3.657E-3
2.557954E-12,6.543E-3
2.557954E-12,-3.657E-3
200.0025E-9,6.543E-3
200.0025E-9,-3.657E-3
400.0025E-9,6.543E-3
400.0025E-9,-3.657E-3
600.0025E-9,6.543E-3
600.0025E-9,-3.657E-3
800.0025E-9,3.343E-3
800.0025E-9,-3.577E-3
1.000003E-6,1.703E-3
1.000003E-6,-3.657E-3
1.200003E-6,6.543E-3
1.200003E-6,-3.657E-3
1.400003E-6,6.543E-3
1.400003E-6,-3.657E-3
1.600002E-6,6.543E-3
1.600002E-6,-3.657E-3
1.800002E-6,6.543E-3
1.800002E-6,-3.657E-3
2.000002E-6,5.383E-3
2.000002E-6,-3.657E-3
2.200002E-6,6.543E-3
2.200002E-6,-3.657E-3
2.400002E-6,6.343E-3
2.400002E-6,-3.657E-3
2.600004E-6,4.223E-3
2.600004E-6,-1.857E-3
2.800003E-6,1.863E-3
2.800003E-6,-3.657E-3
3.000003E-6,3.903E-3
3.000003E-6,-2.297E-3
3.200003E-6,1.503E-3
3.200003E-6,-3.017E-3
3.400003E-6,1.863E-3
3.400003E-6,-977.4E-6
3.600003E-6,502.6E-6
3.600003E-6,-1.097E-3
3.800003E-6,502.6E-6
3.800003E-6,-177.4E-6
4.000003E-6,262.6E-6
4.000003E-6,-177.4E-6
4.200004E-6,502.6E-6
4.200004E-6,-57.43E-6
4.400004E-6,662.6E-6
4.400004E-6,262.6E-6
4.600004E-6,462.6E-6
4.600004E-6,102.6E-6
4.800004E-6,502.6E-6
4.800004E-6,102.6E-6
5.000004E-6,742.6E-6
5.000004E-6,182.6E-6
5.200004E-6,702.6E-6
5.200004E-6,62.57E-6
5.400005E-6,582.6E-6
5.400005E-6,62.57E-6
5.600005E-6,702.6E-6
5.600005E-6,502.6E-6
5.800005E-6,462.6E-6
5.800005E-6,622.6E-6
6.000005E-6,862.6E-6
6.000005E-6,622.6E-6
6.200005E-6,862.6E-6
6.200005E-6,582.6E-6
6.400005E-6,982.6E-6
6.400005E-6,742.6E-6
6.600005E-6,262.6E-6
6.600005E-6,822.6E-6
6.800006E-6,702.6E-6
6.800006E-6,302.6E-6
7.000006E-6,702.6E-6
7.000006E-6,542.6E-6
7.200006E-6,902.6E-6
7.200006E-6,622.6E-6
7.400006E-6,902.6E-6
7.400006E-6,622.6E-6
7.600006E-6,582.6E-6
7.600006E-6,782.6E-6
7.800006E-6,582.6E-6
7.800006E-6,742.6E-6
8.000006E-6,542.6E-6
8.000006E-6,662.6E-6
8.200005E-6,382.6E-6
8.200005E-6,582.6E-6
8.400006E-6,662.6E-6
8.400006E-6,342.6E-6
8.600006E-6,782.6E-6
8.600006E-6,622.6E-6
8.800004E-6,462.6E-6
8.800004E-6,782.6E-6
9.000004E-6,302.6E-6
9.000004E-6,542.6E-6
9.200004E-6,582.6E-6
9.200004E-6,462.6E-6
9.400004E-6,462.6E-6
9.400004E-6,582.6E-6
9.600004E-6,342.6E-6
9.600004E-6,582.6E-6
9.800004E-6,182.6E-6
9.800004E-6,382.6E-6
10.00000E-6,102.6E-6
10.00000E-6,302.6E-6
10.20000E-6,342.6E-6
10.20000E-6,222.6E-6
10.40000E-6,142.6E-6
10.40000E-6,342.6E-6
10.60000E-6,142.6E-6
10.60000E-6,302.6E-6
10.80000E-6,142.6E-6
10.80000E-6,222.6E-6
11.00000E-6,62.57E-6
11.00000E-6,222.6E-6
11.20000E-6,-177.4E-6
11.20000E-6,142.6E-6
11.40000E-6,-217.4E-6
11.40000E-6,-57.43E-6
11.60000E-6,222.6E-6
11.60000E-6,-137.4E-6
11.80000E-6,182.6E-6
11.80000E-6,62.57E-6
12.00000E-6,-97.43E-6
12.00000E-6,102.6E-6
12.20000E-6,-177.4E-6
12.20000E-6,62.57E-6
12.40000E-6,-297.4E-6
12.40000E-6,-57.43E-6
12.60000E-6,-257.4E-6
12.60000E-6,-137.4E-6
12.80000E-6,-297.4E-6
12.80000E-6,-177.4E-6
13.00000E-6,-297.4E-6
13.00000E-6,-137.4E-6
13.20000E-6,-97.43E-6
13.20000E-6,-217.4E-6
13.40000E-6,-417.4E-6
13.40000E-6,-177.4E-6
13.60000E-6,-457.4E-6
13.60000E-6,-337.4E-6
13.80000E-6,-257.4E-6
13.80000E-6,-417.4E-6
14.00000E-6,-217.4E-6
14.00000E-6,-377.4E-6
14.20000E-6,-497.4E-6
14.20000E-6,-297.4E-6
14.40000E-6,-497.4E-6
14.40000E-6,-377.4E-6
14.60000E-6,-497.4E-6
14.60000E-6,-377.4E-6
14.80000E-6,-537.4E-6
14.80000E-6,-377.4E-6
15.00000E-6,-577.4E-6
15.00000E-6,-417.4E-6
15.20000E-6,-337.4E-6
15.20000E-6,-537.4E-6
15.40000E-6,-257.4E-6
15.40000E-6,-457.4E-6
15.60000E-6,-537.4E-6
15.60000E-6,-337.4E-6
15.80000E-6,-657.4E-6
15.80000E-6,-457.4E-6
16.00000E-6,-457.4E-6
16.00000E-6,-697.4E-6
16.20000E-6,-337.4E-6
16.20000E-6,-537.4E-6
16.40000E-6,-577.4E-6
16.40000E-6,-417.4E-6
16.60000E-6,-617.4E-6
16.60000E-6,-497.4E-6
16.80000E-6,-337.4E-6
16.80000E-6,-577.4E-6
17.00000E-6,-337.4E-6
17.00000E-6,-497.4E-6
17.20000E-6,-537.4E-6
17.20000E-6,-377.4E-6
17.40000E-6,-577.4E-6
17.40000E-6,-457.4E-6
17.60000E-6,-337.4E-6
17.60000E-6,-537.4E-6
17.80000E-6,-297.4E-6
17.80000E-6,-457.4E-6
18.00000E-6,-537.4E-6
18.00000E-6,-337.4E-6
18.20000E-6,-257.4E-6
18.20000E-6,-457.4E-6
18.40000E-6,-97.43E-6
18.40000E-6,-377.4E-6
18.60000E-6,-137.4E-6
18.60000E-6,-257.4E-6
18.80000E-6,-337.4E-6
18.80000E-6,-217.4E-6
19.00000E-6,-297.4E-6
19.00000E-6,-177.4E-6
19.20000E-6,-297.4E-6
19.20000E-6,-177.4E-6
19.40000E-6,-57.43E-6
19.40000E-6,-217.4E-6
19.60000E-6,262.6E-6
19.60000E-6,-97.43E-6
19.80000E-6,142.6E-6
19.80000E-6,-297.4E-6
20.00000E-6,22.57E-6
20.00000E-6,-337.4E-6
20.20000E-6,102.6E-6
20.20000E-6,-297.4E-6
20.40000E-6,22.57E-6
20.40000E-6,-337.4E-6
20.60000E-6,102.6E-6
20.60000E-6,-57.43E-6
20.79999E-6,-97.43E-6
20.79999E-6,102.6E-6
21.00000E-6,182.6E-6
21.00000E-6,22.57E-6
21.19999E-6,22.57E-6
21.19999E-6,142.6E-6
21.39999E-6,222.6E-6
21.39999E-6,62.57E-6
21.59999E-6,342.6E-6
21.59999E-6,142.6E-6
21.79999E-6,102.6E-6
21.79999E-6,262.6E-6
21.99999E-6,-177.4E-6
21.99999E-6,222.6E-6
22.19999E-6,302.6E-6
22.19999E-6,62.57E-6
22.39999E-6,262.6E-6
22.39999E-6,102.6E-6
22.59999E-6,62.57E-6
22.59999E-6,262.6E-6
22.79999E-6,382.6E-6
22.79999E-6,182.6E-6
22.99999E-6,462.6E-6
22.99999E-6,262.6E-6
23.19999E-6,62.57E-6
23.19999E-6,422.6E-6
23.39999E-6,-57.43E-6
23.39999E-6,102.6E-6
23.59999E-6,182.6E-6
23.59999E-6,-17.43E-6
23.79999E-6,302.6E-6
23.79999E-6,142.6E-6
23.99999E-6,142.6E-6
23.99999E-6,262.6E-6
24.19999E-6,142.6E-6
24.19999E-6,302.6E-6
24.39999E-6,382.6E-6
24.39999E-6,222.6E-6
24.59999E-6,142.6E-6
24.59999E-6,382.6E-6
24.79999E-6,62.57E-6
24.79999E-6,222.6E-6
24.99999E-6,262.6E-6
24.99999E-6,102.6E-6
25.19999E-6,382.6E-6
25.19999E-6,222.6E-6
25.39999E-6,22.57E-6
25.39999E-6,342.6E-6
25.59999E-6,-57.43E-6
25.59999E-6,102.6E-6
25.79999E-6,142.6E-6
25.79999E-6,-57.43E-6
25.99999E-6,182.6E-6
25.99999E-6,22.57E-6
26.19999E-6,22.57E-6
26.19999E-6,102.6E-6
26.39999E-6,22.57E-6
26.39999E-6,182.6E-6
26.59999E-6,62.57E-6
26.59999E-6,182.6E-6
26.79999E-6,-17.43E-6
26.79999E-6,182.6E-6
26.99999E-6,-57.43E-6
26.99999E-6,102.6E-6
27.19999E-6,-57.43E-6
27.19999E-6,62.57E-6
27.39999E-6,-97.43E-6
27.39999E-6,102.6E-6
27.59999E-6,-257.4E-6
27.59999E-6,-17.43E-6
27.79998E-6,-297.4E-6
27.79998E-6,-177.4E-6
27.99998E-6,22.57E-6
27.99998E-6,-217.4E-6
28.19998E-6,102.6E-6
28.19998E-6,-17.43E-6
28.39998E-6,-57.43E-6
28.39998E-6,102.6E-6
28.59998E-6,-97.43E-6
28.59998E-6,62.57E-6
28.79998E-6,-137.4E-6
28.79998E-6,22.57E-6
28.99998E-6,-297.4E-6
28.99998E-6,-97.43E-6
29.20000E-6,-377.4E-6
